Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
FALSE,n/a,married,none_primary_only,agree,purchased,Graduate,No Damage/Fully Repaired,"5,001 - 10,000",1 or less,own_toilet
TRUE,n/a,married,none_primary_only,agree,tap_hh,High School,No Damage/Fully Repaired,"<2,500",No land,shared_toilet
FALSE,n/a,separated,secondary,agree,purchased,High School,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,none_primary_only,agree,tap_communal,High School,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,n/a,living_together,none_primary_only,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,higher_edu,strongly_agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,none_primary_only,strongly_agree,rainwater,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,higher_edu,disagree,well_shallow,Elementary,Medium Damage Level,"<2,500",2.01 - 10,#N/A
TRUE,n/a,married,none_primary_only,agree,tap_hh,High School,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,none_primary_only,strongly_agree,well_shallow,Graduate,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,living_together,none_primary_only,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,more,widowed,none_primary_only,agree,tap_communal,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",1 or less,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,married,none_primary_only,agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,widowed,higher_edu,agree,purchased,High School,Destroyed/No House,"<2,500",No land,#N/A
TRUE,more,living_together,secondary,agree,tap_hh,Elementary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
